location,network_name,ssid,bssid,security_type,band,bandwidth,phy,rssi,bi,age
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:57:50,open,5g56,40,n/ac,-82,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:63:91,open,5g60,40,n/ac,-88,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:66:30,open,5g48,40,n/ac,-87,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:80,open,2g6,20,n,-73,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b0:b8:67:63:6b:90,open,5g60,40,n/ac,-64,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,b4:5d:50:fd:b4:d0,open,5g52,40,n/ac,-95,100,0ms
GSR2-1,SMU_Visitor,SMU_Visitor,f4:2e:7f:24:47:11,open,5g124,40,n/ac,-90,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:60,wpa2-enterprise,2g1,20,n,-61,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,18:64:72:4c:9a:70,wpa2-enterprise,5g36,40,n/ac,-64,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:62:1f:b2,wpa2-enterprise,5g120,40,n/ac,-87,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:62:a0:32,wpa2-enterprise,5g112,40,n/ac,-82,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:82,wpa2-enterprise,2g1,20,n,-77,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:30:92,wpa2-enterprise,5g149,40,n/ac,-81,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:35:52,wpa2-enterprise,5g104,40,n/ac,-85,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4a:22,wpa2-enterprise,2g11,20,n,-87,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4a:32,wpa2-enterprise,5g124,40,n/ac,-88,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:4f:72,wpa2-enterprise,5g116,40,n/ac,-84,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:50:b2,wpa2-enterprise,5g153,40,n/ac,-79,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:51:d2,wpa2-enterprise,5g64,40,n/ac,-89,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:55:92,wpa2-enterprise,5g132,40,n/ac,-93,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:57:52,wpa2-enterprise,5g56,40,n/ac,-82,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:63:92,wpa2-enterprise,5g60,40,n/ac,-88,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:66:32,wpa2-enterprise,5g48,40,n/ac,-87,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:82,wpa2-enterprise,2g6,20,n,-73,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,b0:b8:67:63:6b:92,wpa2-enterprise,5g60,40,n/ac,-65,100,0ms
GSR2-1,WLAN-SMU,WLAN-SMU,f4:2e:7f:24:47:12,wpa2-enterprise,5g124,40,n/ac,-90,100,0ms
GSR2-3/2,Allison,Allison,90:3a:72:39:6b:38,wpa2-personal,2g11,20,n,-86,100,0ms
GSR2-3/2,BayView Hotel BH 1,BayView,02:0d:3c:2e:99:ef,open,5g140,20,a,-95,100,0ms
GSR2-3/2,eduroam,eduroam,18:64:72:4c:9a:62,wpa2-enterprise,2g1,20,n,-81,100,0ms
GSR2-3/2,eduroam,eduroam,18:64:72:4c:9a:72,wpa2-enterprise,5g36,40,n/ac,-86,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:62:a0:21,wpa2-enterprise,2g6,20,n,-78,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:62:a0:31,wpa2-enterprise,5g112,40,n/ac,-77,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:30:81,wpa2-enterprise,2g1,20,n,-74,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:30:91,wpa2-enterprise,5g149,40,n/ac,-79,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:35:51,wpa2-enterprise,5g104,40,n/ac,-93,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:4a:31,wpa2-enterprise,5g124,40,n/ac,-85,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:4f:71,wpa2-enterprise,5g116,40,n/ac,-93,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:50:a1,wpa2-enterprise,2g11,20,n,-79,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:50:b1,wpa2-enterprise,5g153,40,n/ac,-69,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:57:41,wpa2-enterprise,2g11,20,n,-86,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:57:51,wpa2-enterprise,5g56,40,n/ac,-82,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:6b:81,wpa2-enterprise,2g6,20,n,-56,100,0ms
GSR2-3/2,eduroam,eduroam,b0:b8:67:63:6b:91,wpa2-enterprise,5g60,40,n/ac,-47,100,0ms
GSR2-3/2,eduroam,eduroam,b4:5d:50:fd:b4:d2,wpa2-enterprise,5g52,40,n/ac,-93,100,0ms
GSR2-3/2,eduroam,eduroam,b4:5d:50:fe:41:82,wpa2-enterprise,2g1,20,n,-92,100,0ms
GSR2-3/2,Intercom_AV_Control,Intercom_AV_Control,40:16:7e:c1:35:68,wpa2-personal,2g8,20,n,-96,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:61,open,2g1,20,n,-81,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,18:64:72:4c:9a:71,open,5g36,40,n/ac,-86,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:20,open,2g6,20,n,-78,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:62:a0:30,open,5g112,40,n/ac,-77,100,0ms
GSR2-3/2,SMU_Visitor,SMU_Visitor,b0:b8:67:63:30:80,open,2g1,20,n,-75,100,0ms
